MonthYear,Hashtags,Hashtag Rate (%)
5-2022,#insurtech,0.95
5-2022,#mentalhealth,0.95
6-2022,#ai,52.46
6-2022,#midjourney,37.7
6-2022,#aiart,31.15
6-2022,#machinelearning,21.31
6-2022,#digitalart,21.31
6-2022,#art,19.67
6-2022,#discodiffusion,14.75
6-2022,#neuralart,13.11
6-2022,#aicommunity,13.11
6-2022,#nightcafe,11.48
6-2022,#conceptart,9.84
6-2022,#metaverse,9.84
6-2022,#artificialintelligence,9.84
6-2022,#nfts,8.2
6-2022,#design,6.56
6-2022,#generativeart,6.56
6-2022,#nftcommunity,4.92
6-2022,#abstract,4.92
6-2022,#nftart,4.92
6-2022,#nft,4.92
6-2022,#creativea,3.28
6-2022,#digitaltransformation,3.28
6-2022,#fashiontech,3.28
6-2022,#digitalfashion,3.28
6-2022,#trends,3.28
6-2022,#technology,3.28
6-2022,#creativeindustries,3.28
6-2022,#climatechange,1.64
6-2022,#diffusionmodel,1.64
6-2022,#aiartist,1.64
6-2022,#nftartist,1.64
6-2022,#architecture,1.64
6-2022,#images,1.64
6-2022,#artists,1.64
6-2022,#digitalasset,1.64
6-2022,#drugdiscovery,1.64
6-2022,#architecturaldesign,1.64
6-2022,#1,1.64
6-2022,#painting,1.64
6-2022,#3dart,1.64
6-2022,#cybersecurity,1.64
6-2022,#humanity,1.64
6-2022,#science,1.64
6-2022,#gartner,1.64
6-2022,#emerging,1.64
6-2022,#gai,1.64
6-2022,#ethics,1.64
6-2022,#aigenerated,1.64
6-2022,#gpt3,1.64
6-2022,#innovation,1.64
7-2022,#ai,52.73
7-2022,#midjourney,23.64
7-2022,#dalle,20.0
7-2022,#dalle2,18.18
7-2022,#deeplearning,12.73
7-2022,#creativea,10.91
7-2022,#generativeart,10.91
7-2022,#aiart,10.91
7-2022,#design,9.09
7-2022,#discodiffusion,7.27
7-2022,#openai,7.27
7-2022,#metaverse,7.27
7-2022,#ml,7.27
7-2022,#art,5.45
7-2022,#imagegeneration,5.45
7-2022,#synthetic,5.45
7-2022,#bigdata,5.45
7-2022,#artificialintelligence,5.45
7-2022,#fashion,3.64
7-2022,#meta,3.64
7-2022,#gpt,3.64
7-2022,#nvidia,3.64
7-2022,#texttoimage,3.64
7-2022,#llm,3.64
7-2022,#architecturaldesign,3.64
7-2022,#llms,3.64
7-2022,#neuralnet,3.64
7-2022,#copyright,3.64
7-2022,#content,3.64
7-2022,#digital,3.64
7-2022,#3d,3.64
7-2022,#wombo,3.64
7-2022,#pytorch,3.64
7-2022,#gpt3,3.64
7-2022,#tensorflow,3.64
7-2022,#datascience,3.64
7-2022,#machinelearning,3.64
7-2022,#technology,3.64
7-2022,#nft,3.64
7-2022,#intellectualproperty,3.64
7-2022,#innovation,3.64
7-2022,#fashiontech,3.64
7-2022,#productdesign,1.82
7-2022,#artists,1.82
7-2022,#blockchain,1.82
7-2022,#nftcommunity,1.82
7-2022,#analyticsinsight,1.82
7-2022,#2,1.82
7-2022,#ia,1.82
7-2022,#dl,1.82
8-2022,#midjourney,48.89
8-2022,#generativedesign,40.0
8-2022,#aiartwork,37.04
8-2022,#experiment,36.3
8-2022,#aigeneratedart,35.56
8-2022,#ai,22.96
8-2022,#conceptartist,21.48
8-2022,#soul,20.0
8-2022,#existence,20.0
8-2022,#buddha,16.3
8-2022,#buddhism,16.3
8-2022,#zen,15.56
8-2022,#buddhist,15.56
8-2022,#aiarchitecture,14.81
8-2022,#generativeart,11.11
8-2022,#conceptual,11.11
8-2022,#stablediffusion,8.15
8-2022,#dalle2,7.41
8-2022,#artificialintelligence,5.93
8-2022,#generative,5.19
8-2022,#openai,4.44
8-2022,#aiart,4.44
8-2022,#machinelearning,2.96
8-2022,#art,2.96
8-2022,#ml,2.96
8-2022,#gpt3,2.96
8-2022,#artwork,2.22
8-2022,#texttoimage,2.22
8-2022,#robots,2.22
8-2022,#aigenerated,2.22
8-2022,#dalle,2.22
8-2022,#shorts,2.22
8-2022,#design,1.48
8-2022,#creativity,1.48
8-2022,#gpt,1.48
8-2022,#fashion,1.48
8-2022,#gartner,1.48
8-2022,#deepfakes,1.48
8-2022,#llms,1.48
8-2022,#creativeindustries,1.48
8-2022,#llm,1.48
8-2022,#creativea,1.48
8-2022,#abstract,1.48
8-2022,#marketing,1.48
8-2022,#synthetic,1.48
8-2022,#compute,1.48
8-2022,#data,1.48
8-2022,#metaverse,1.48
8-2022,#nft,1.48
8-2022,#technology,1.48
9-2022,#ai,38.36
9-2022,#generativeart,12.33
9-2022,#stablediffusion,11.42
9-2022,#art,9.13
9-2022,#deeplearning,7.76
9-2022,#metaai,7.31
9-2022,#aiart,7.31
9-2022,#machinelearning,6.85
9-2022,#artificialintelligence,6.85
9-2022,#dalle,6.39
9-2022,#fintech,5.94
9-2022,#dalle2,5.48
9-2022,#nft,5.48
9-2022,#nfts,5.02
9-2022,#visualtech,4.57
9-2022,#metaverse,4.11
9-2022,#artists,3.65
9-2022,#digitalart,3.65
9-2022,#aigenerated,3.65
9-2022,#creativea,3.65
9-2022,#midjourney,3.2
9-2022,#ml,3.2
9-2022,#hiveblockchain,2.74
9-2022,#python,2.74
9-2022,#nftartist,2.74
9-2022,#bitcoin,2.74
9-2022,#100daysofcode,2.74
9-2022,#cybersecurity,2.74
9-2022,#nocode,2.74
9-2022,#hive,2.74
9-2022,#cryptocurrencies,2.74
9-2022,#cybersecurite,2.74
9-2022,#tesla,2.74
9-2022,#openai,2.74
9-2022,#aiartwork,2.74
9-2022,#web3,2.74
9-2022,#tech,2.74
9-2022,#nftcommunity,2.28
9-2022,#nftshowroom,2.28
9-2022,#architecture,2.28
9-2022,#ia,2.28
9-2022,#nftart,2.28
9-2022,#visualcontent,2.28
9-2022,#enlosblogs,2.28
9-2022,#generativeaiart,2.28
9-2022,#deepfake,1.83
9-2022,#visualart,1.83
9-2022,#digitaldesign,1.83
9-2022,#fantasyart,1.83
9-2022,#inteligenciaartificial,1.83
10-2022,#ai,32.54
10-2022,#stablediffusion,13.17
10-2022,#generativeart,12.06
10-2022,#aiart,11.27
10-2022,#artificialintelligence,8.41
10-2022,#dalle,6.35
10-2022,#openai,5.87
10-2022,#dalle2,4.76
10-2022,#aiartcommunity,4.76
10-2022,#machinelearning,4.44
10-2022,#midjourney,4.44
10-2022,#aiartwork,4.29
10-2022,#stablediffusionart,3.97
10-2022,#nfts,3.81
10-2022,#digitalart,3.49
10-2022,#art,3.33
10-2022,#nft,3.02
10-2022,#ml,3.02
10-2022,#aiartist,2.86
10-2022,#generativedesign,2.38
10-2022,#gpt3,2.38
10-2022,#tech,2.22
10-2022,#metaverse,2.22
10-2022,#deeplearning,2.22
10-2022,#photography,2.06
10-2022,#nftcommunity,1.9
10-2022,#fintech,1.9
10-2022,#startups,1.59
10-2022,#copyright,1.59
10-2022,#visualcontent,1.59
10-2022,#visualtech,1.43
10-2022,#nftart,1.43
10-2022,#vr,1.27
10-2022,#stability,1.27
10-2022,#nftartist,1.27
10-2022,#dl,1.27
10-2022,#generative,1.27
10-2022,#hiveblockchain,1.27
10-2022,#hive,1.27
10-2022,#web3,1.27
10-2022,#marketing,1.11
10-2022,#innovation,1.11
10-2022,#generativeaiart,1.11
10-2022,#artwork,1.11
10-2022,#opensource,1.11
10-2022,#content,0.95
10-2022,#portrait,0.95
10-2022,#startup,0.95
10-2022,#technews,0.95
10-2022,#meta,0.95
11-2022,#ai,28.5
11-2022,#stablediffusion,25.39
11-2022,#aiart,14.55
11-2022,#generativeart,13.53
11-2022,#artificialintelligence,10.36
11-2022,#machinelearning,9.22
11-2022,#art,7.96
11-2022,#digitalart,7.54
11-2022,#dalle2,7.49
11-2022,#midjourney,7.19
11-2022,#aiartwork,4.07
11-2022,#vr,3.35
11-2022,#iot,3.29
11-2022,#aiartgenerator,3.17
11-2022,#mlart,3.17
11-2022,#mlsogood,3.17
11-2022,#aiartcommunity,3.11
11-2022,#gpt3,2.81
11-2022,#wombo,2.69
11-2022,#digitalillustration,2.63
11-2022,#illustration,2.63
11-2022,#womboart,2.63
11-2022,#comicart,2.57
11-2022,#wombodream,2.46
11-2022,#deeplearning,2.46
11-2022,#dalle,2.4
11-2022,#ml,2.22
11-2022,#metaverse,2.16
11-2022,#openai,2.1
11-2022,#technology,1.92
11-2022,#fintech,1.86
11-2022,#content,1.74
11-2022,#marketingai,1.62
11-2022,#nfts,1.62
11-2022,#neurips,1.62
11-2022,#nft,1.5
11-2022,#fdl,1.44
11-2022,#marketing,1.38
11-2022,#synthetic,1.32
11-2022,#creative,1.2
11-2022,#startups,1.2
11-2022,#web3,1.14
11-2022,#stablediffusionart,1.14
11-2022,#futureofwork,1.08
11-2022,#nftcommunity,1.02
11-2022,#hiveblockchain,0.96
11-2022,#digitalmarketing,0.96
11-2022,#copyright,0.96
11-2022,#hive,0.96
11-2022,#generative,0.9
12-2022,#stablediffusion,41.24
12-2022,#aiart,34.2
12-2022,#generativeart,32.29
12-2022,#ai,27.41
12-2022,#promptsharing,20.84
12-2022,#chatgpt,11.82
12-2022,#artificialintelligence,7.77
12-2022,#aigenerated,6.14
12-2022,#machinelearning,4.7
12-2022,#midjourney,4.53
12-2022,#art,3.22
12-2022,#openai,3.09
12-2022,#dalle2,2.82
12-2022,#digitalart,1.99
12-2022,#deeplearning,1.94
12-2022,#technology,1.94
12-2022,#gpt3,1.86
12-2022,#ml,1.86
12-2022,#dalle,1.48
12-2022,#iot,1.48
12-2022,#vr,1.38
12-2022,#aiartwork,1.31
12-2022,#web3,1.28
12-2022,#mlart,1.26
12-2022,#aiartgenerator,1.26
12-2022,#mlsogood,1.26
12-2022,#content,1.16
12-2022,#aiartcommunity,1.11
12-2022,#3d,1.08
12-2022,#synthetic,1.08
12-2022,#gtc22,1.03
12-2022,#stablediffusion2,0.88
12-2022,#nlp,0.88
12-2022,#metaverse,0.85
12-2022,#video,0.85
12-2022,#marketing,0.83
12-2022,#tech,0.8
12-2022,#nft,0.78
12-2022,#gpt,0.7
12-2022,#digitaltransformation,0.7
12-2022,#conversationalai,0.68
12-2022,#chatbot,0.65
12-2022,#nfts,0.63
12-2022,#aiイラスト,0.6
12-2022,#fintech,0.6
12-2022,#画像生成ai,0.58
12-2022,#business,0.58
12-2022,#agi,0.58
12-2022,#innovation,0.53
12-2022,#wombo,0.5
1-2023,#ai,40.58
1-2023,#aiart,28.76
1-2023,#generativeart,25.24
1-2023,#stablediffusion,24.56
1-2023,#chatgpt,21.58
1-2023,#aigenerated,11.09
1-2023,#artificialintelligence,10.62
1-2023,#promptsharing,9.3
1-2023,#machinelearning,6.38
1-2023,#openai,6.18
1-2023,#midjourney,5.39
1-2023,#deeplearning,3.78
1-2023,#art,3.69
1-2023,#digitalart,3.04
1-2023,#innovation,2.33
1-2023,#synthetic,2.25
1-2023,#technology,2.24
1-2023,#dalle2,2.18
1-2023,#aiartwork,2.08
1-2023,#gpt3,1.99
1-2023,#nft,1.98
1-2023,#chatbot,1.92
1-2023,#generative,1.89
1-2023,#tech,1.85
1-2023,#generativedesign,1.74
1-2023,#compute,1.71
1-2023,#nfts,1.56
1-2023,#ml,1.54
1-2023,#design,1.51
1-2023,#artwork,1.51
1-2023,#nlp,1.5
1-2023,#datascience,1.44
1-2023,#newmediaart,1.42
1-2023,#artandtechnology,1.42
1-2023,#aiartcommunity,1.4
1-2023,#metaverse,1.31
1-2023,#architecture,1.31
1-2023,#data,1.18
1-2023,#dalle,1.16
1-2023,#illustration,1.13
1-2023,#nftart,1.1
1-2023,#web3,1.08
1-2023,#content,1.06
1-2023,#homedesign,1.06
1-2023,#iot,1.06
1-2023,#vr,1.0
1-2023,#architecturaldesign,1.0
1-2023,#futuristicdesign,1.0
1-2023,#architectureinspiration,1.0
1-2023,#mlsogood,0.96
2-2023,#ai,39.64
2-2023,#chatgpt,24.12
2-2023,#aiart,19.57
2-2023,#generativeart,15.22
2-2023,#stablediffusion,12.95
2-2023,#artificialintelligence,11.96
2-2023,#midjourney,9.7
2-2023,#machinelearning,9.16
2-2023,#digitalart,6.78
2-2023,#openai,6.63
2-2023,#deeplearning,5.79
2-2023,#art,5.61
2-2023,#aigenerated,4.79
2-2023,#promptsharing,4.11
2-2023,#aiartwork,4.04
2-2023,#chatbot,2.87
2-2023,#innovation,2.69
2-2023,#technology,2.67
2-2023,#automation,2.49
2-2023,#tech,2.43
2-2023,#datascience,2.38
2-2023,#gtc23,2.36
2-2023,#nft,2.31
2-2023,#artwork,2.29
2-2023,#compute,2.28
2-2023,#dalle2,2.27
2-2023,#generative,2.2
2-2023,#artandtechnology,2.04
2-2023,#data,2.02
2-2023,#fintech,1.94
2-2023,#agi,1.94
2-2023,#generativedesign,1.92
2-2023,#ml,1.89
2-2023,#metaverse,1.88
2-2023,#synthetic,1.85
2-2023,#aiartcommunity,1.85
2-2023,#google,1.8
2-2023,#gpt3,1.79
2-2023,#mlart,1.7
2-2023,#microsoft,1.67
2-2023,#newmediaart,1.63
2-2023,#nlp,1.62
2-2023,#iot,1.58
2-2023,#mlsogood,1.54
2-2023,#bard,1.49
2-2023,#web3,1.46
2-2023,#bigdata,1.46
2-2023,#nfts,1.42
2-2023,#python,1.28
2-2023,#architecture,1.25
3-2023,#ai,39.88
3-2023,#chatgpt,19.55
3-2023,#aiart,14.28
3-2023,#artificialintelligence,12.57
3-2023,#generativeart,10.41
3-2023,#machinelearning,8.68
3-2023,#midjourney,8.17
3-2023,#stablediffusion,7.79
3-2023,#openai,5.8
3-2023,#gpt4,5.78
3-2023,#deeplearning,5.27
3-2023,#art,4.84
3-2023,#digitalart,4.71
3-2023,#aiartwork,3.59
3-2023,#tech,2.96
3-2023,#aigenerated,2.94
3-2023,#fintech,2.86
3-2023,#technology,2.81
3-2023,#nft,2.69
3-2023,#innovation,2.49
3-2023,#data,2.46
3-2023,#gtc23,2.22
3-2023,#automation,2.15
3-2023,#promptsharing,1.97
3-2023,#aiartcommunity,1.9
3-2023,#mlart,1.83
3-2023,#chatgpt4,1.82
3-2023,#web3,1.8
3-2023,#chatbot,1.78
3-2023,#microsoft,1.68
3-2023,#compute,1.66
3-2023,#ml,1.65
3-2023,#futureofwork,1.58
3-2023,#cybersecurity,1.53
3-2023,#datascience,1.49
3-2023,#nftart,1.46
3-2023,#dalle2,1.44
3-2023,#agi,1.39
3-2023,#artandtechnology,1.34
3-2023,#quickbookssolutionprovider,1.33
3-2023,#nlp,1.32
3-2023,#metaverse,1.31
3-2023,#gpt3,1.28
3-2023,#llms,1.24
3-2023,#business,1.22
3-2023,#google,1.22
3-2023,#aiartistcommunity,1.21
3-2023,#mlsogood,1.21
3-2023,#llm,1.15
3-2023,#aiartists,1.14
4-2023,#ai,39.97
4-2023,#chatgpt,21.24
4-2023,#artificialintelligence,14.91
4-2023,#aiart,12.01
4-2023,#machinelearning,8.11
4-2023,#generativeart,8.08
4-2023,#midjourney,7.79
4-2023,#stablediffusion,7.21
4-2023,#gpt4,6.24
4-2023,#openai,6.14
4-2023,#deeplearning,4.63
4-2023,#fintech,4.19
4-2023,#aiartwork,3.92
4-2023,#digitalart,3.75
4-2023,#metaverse,3.54
4-2023,#gai,3.51
4-2023,#technology,3.19
4-2023,#aigenerated,3.18
4-2023,#microsoft,2.99
4-2023,#art,2.89
4-2023,#nft,2.81
4-2023,#google,2.77
4-2023,#innovation,2.68
4-2023,#tech,2.57
4-2023,#automation,2.37
4-2023,#nfts,2.31
4-2023,#ml,2.27
4-2023,#aiartcommunity,2.2
4-2023,#marketing,2.19
4-2023,#chatbot,1.96
4-2023,#aiartworks,1.87
4-2023,#llms,1.67
4-2023,#web3,1.64
4-2023,#aws,1.63
4-2023,#datascience,1.6
4-2023,#chatgpt4,1.59
4-2023,#llm,1.56
4-2023,#autogpt,1.49
4-2023,#data,1.48
4-2023,#finserv,1.34
4-2023,#promptsharing,1.29
4-2023,#iot,1.28
4-2023,#nlp,1.26
4-2023,#aiartcommuity,1.25
4-2023,#dalle2,1.21
4-2023,#futureofwork,1.19
4-2023,#techtrends,1.18
4-2023,#cybersecurity,1.17
4-2023,#startups,1.13
4-2023,#aiphoto,1.11
